,character,verbs,verb_prct,nouns,noun_prct,adjs,adj_prct,advs,adv_prct,question_prct,total_words,total_sentences,avg_sentence
0,spock1,8254,13.415466631992977,15643,25.42502356727237,4555,7.4033741832721125,3886,6.316028995871664,7.922382894574219,61526,8091,7.604251637622049
1,kirk1,16972,15.514562041793884,25440,23.255388778177963,5531,5.056035980035468,6379,5.831215605974734,18.711602597858523,109394,17091,6.400678719794044
2,janeway,23897,17.158140369772035,30159,21.65428109854604,7651,5.493448213965177,7947,5.705977382875606,16.81766704416761,139275,19426,7.1695150828786165
3,archer,16460,18.068057080131723,17279,18.967069154774975,4517,4.958287596048298,5790,6.355653128430297,20.124512451245124,91100,13332,6.833183318331833
4,sisko,17597,17.053504801961488,20736,20.095554672584726,5273,5.1101398431973015,6623,6.41844418386037,18.364707572927145,103187,13918,7.413924414427361
5,picard,23047,15.416775367408508,35977,24.066009779722126,8184,5.474503822921474,8748,5.8517790130641565,19.382316550870847,149493,21014,7.113971637955649
6,data,11094,13.742103307320699,22258,27.570915397002356,6032,7.471819645732689,3721,4.609191130930261,8.592592592592592,80730,10125,7.973333333333334
7,spock2,1535,12.807676261994159,3135,26.157697121401753,941,7.851481017939091,688,5.740508969545265,6.085192697768763,11985,1479,8.10344827586207
8,kirk2,2383,15.351414030793018,3954,25.47188043548283,821,5.2889261096437545,891,5.73986987051472,18.72759856630824,15523,2232,6.954749103942652
